val_mse,mse,val_mae,mae
0.401756,0.411877,0.294638,0.296791
0.401545,0.411871,0.294474,0.296784
0.401291,0.41173,0.294298,0.296629
0.401265,0.411725,0.294318,0.296612
0.401177,0.411608,0.29427,0.296508
0.40105,0.411414,0.293977,0.296321
0.401106,0.4114,0.294108,0.296322
0.401261,0.411366,0.294242,0.296297
0.401235,0.411327,0.294283,0.296351
0.401091,0.41126,0.294142,0.296252
0.40102,0.411226,0.294068,0.296247
0.401015,0.41119,0.294069,0.296198
0.401063,0.411141,0.29411,0.296212
0.401048,0.41108,0.294099,0.296189
0.401023,0.411023,0.29409,0.296162
0.40096,0.411025,0.294023,0.29618
0.401013,0.411014,0.294071,0.296167
0.401543,0.410925,0.294667,0.296085
0.401638,0.410915,0.294739,0.296055
0.401474,0.410866,0.294597,0.295978
0.401425,0.410861,0.294587,0.295976
0.401453,0.410809,0.294635,0.295951
0.401559,0.410755,0.294689,0.2959
0.401483,0.410741,0.294628,0.295898
0.401443,0.410742,0.294597,0.295901
0.401517,0.410694,0.294645,0.29585
0.401862,0.410689,0.294984,0.29584
0.402031,0.410687,0.295152,0.295803
0.402137,0.410687,0.295257,0.295789
0.402273,0.410635,0.295461,0.295736
0.402316,0.410498,0.295559,0.295603
0.402083,0.410481,0.295344,0.295604
0.402267,0.410411,0.295603,0.295558
0.402262,0.410402,0.295617,0.295567
0.402065,0.41036,0.295386,0.295533
0.402078,0.410354,0.295466,0.29553
0.402092,0.410325,0.295532,0.295522
0.402,0.41031,0.295401,0.295521
0.401974,0.410275,0.295374,0.29551
0.40191,0.41018,0.295177,0.295376
0.401787,0.410166,0.295044,0.295357
0.401548,0.41014,0.29483,0.295363
0.401624,0.410137,0.294944,0.295351
0.401585,0.410134,0.294925,0.295359
0.401641,0.410117,0.295044,0.295355
0.401655,0.410119,0.295067,0.295355
0.401596,0.410106,0.295011,0.295343
